feedback_id,project_id,user_id,feedback_type,feedback_text,priority,sentiment,channel,created_at
FDBK00000128,PROJ000221,USR000373,Question,How do permissions work?,Low,Neutral,Web,2026-02-08
FDBK00000129,PROJ000128,USR000535,Complaint,Reports are difficult to understand.,Medium,Negative,Support Ticket,2025-07-09
FDBK00000130,PROJ000176,USR000140,Improvement,Simplify navigation menus.,Critical,Negative,Survey,2026-03-09
FDBK00000131,PROJ000245,USR000455,Complaint,Reports are difficult to understand.,Critical,Positive,Email,2025-07-28
FDBK00000132,PROJ000192,USR000466,Complaint,Support response is too slow.,High,Positive,Survey,2025-12-11
FDBK00000133,PROJ000222,USR000438,Improvement,Optimize search experience.,Medium,Neutral,Email,2024-09-15
FDBK00000134,PROJ000058,USR000527,Question,How do permissions work?,Critical,Neutral,Mobile,2025-04-01
FDBK00000135,PROJ000053,USR000056,Improvement,Reduce loading times.,Critical,Negative,Support Ticket,2024-08-14
FDBK00000136,PROJ000021,USR000370,Bug Report,Login page becomes unresponsive after timeout.,Critical,Negative,Web,2024-12-05
FDBK00000137,PROJ000123,USR000486,Improvement,Enhance dashboard usability.,Low,Neutral,Survey,2025-03-19
FDBK00000138,PROJ000158,USR000047,Praise,Great collaboration features.,Low,Neutral,Mobile,2026-02-16
FDBK00000139,PROJ000097,USR000605,Feature Request,Provide export to PDF option.,Low,Neutral,Email,2025-11-28
FDBK00000140,PROJ000013,USR000160,Improvement,Improve application performance.,High,Positive,Email,2026-03-16
FDBK00000141,PROJ000074,USR000057,Praise,Excellent dashboard experience.,Medium,Neutral,Mobile,2026-02-04
FDBK00000142,PROJ000249,USR000065,Improvement,Simplify navigation menus.,Low,Neutral,Web,2026-02-20
FDBK00000143,PROJ000223,USR000593,Praise,AI suggestions are extremely useful.,High,Negative,Email,2025-05-06
FDBK00000144,PROJ000204,USR000039,Question,Is API access available?,Critical,Negative,Support Ticket,2024-11-08
FDBK00000145,PROJ000097,USR000312,Praise,Excellent dashboard experience.,Medium,Negative,Mobile,2026-03-25
FDBK00000146,PROJ000191,USR000702,Bug Report,Notification emails are duplicated.,Low,Positive,Support Ticket,2026-02-23
FDBK00000147,PROJ000006,USR000171,Praise,Very intuitive interface.,Critical,Neutral,Email,2024-11-30
FDBK00000148,PROJ000188,USR000510,Improvement,Improve application performance.,High,Positive,Email,2024-10-14
FDBK00000149,PROJ000182,USR000636,Improvement,Reduce loading times.,Low,Positive,Mobile,2026-06-06
FDBK00000150,PROJ000047,USR000655,Praise,Great collaboration features.,Critical,Neutral,Support Ticket,2025-04-24
FDBK00000151,PROJ000026,USR000284,Praise,Very intuitive interface.,Medium,Positive,Survey,2025-08-30
FDBK00000152,PROJ000064,USR000261,Praise,Excellent dashboard experience.,Critical,Neutral,Email,2026-06-14
FDBK00000153,PROJ000108,USR000303,Praise,AI suggestions are extremely useful.,Low,Negative,Web,2025-04-14
FDBK00000154,PROJ000156,USR000351,Feature Request,Enable custom dashboard widgets.,Critical,Neutral,Mobile,2025-01-15
FDBK00000155,PROJ000131,USR000772,Praise,Fast and reliable platform.,Low,Positive,Web,2026-01-30
FDBK00000156,PROJ000101,USR000070,Bug Report,Application crashes while generating reports.,Low,Negative,Email,2026-04-15
FDBK00000157,PROJ000028,USR000368,Improvement,Improve application performance.,Low,Neutral,Support Ticket,2025-07-06
FDBK00000158,PROJ000167,USR000527,Feature Request,Integrate with Slack notifications.,Critical,Negative,Support Ticket,2026-02-13
FDBK00000159,PROJ000243,USR000380,Praise,Fast and reliable platform.,Low,Neutral,Survey,2026-07-10
FDBK00000160,PROJ000142,USR000631,Feature Request,Enable custom dashboard widgets.,Critical,Positive,Web,2025-09-23
FDBK00000161,PROJ000176,USR000659,Improvement,Simplify navigation menus.,Low,Neutral,Support Ticket,2024-12-30
FDBK00000162,PROJ000131,USR000100,Question,How do I archive projects?,Medium,Neutral,Email,2025-05-01
FDBK00000163,PROJ000139,USR000692,Improvement,Enhance dashboard usability.,High,Neutral,Survey,2025-10-11
FDBK00000164,PROJ000198,USR000101,Question,How do I archive projects?,Low,Negative,Support Ticket,2026-02-27
FDBK00000165,PROJ000126,USR000689,Bug Report,Login page becomes unresponsive after timeout.,High,Neutral,Survey,2026-01-27
FDBK00000166,PROJ000010,USR000509,Improvement,Reduce loading times.,Low,Negative,Web,2024-10-10
FDBK00000167,PROJ000191,USR000469,Feature Request,Support multilingual interface.,High,Negative,Web,2025-03-20
FDBK00000168,PROJ000120,USR000294,Complaint,Too many unnecessary notifications.,Medium,Negative,Support Ticket,2025-12-30
FDBK00000169,PROJ000087,USR000575,Bug Report,Dashboard takes too long to load.,High,Neutral,Mobile,2025-04-25
FDBK00000170,PROJ000017,USR000278,Feature Request,Enable custom dashboard widgets.,Medium,Negative,Support Ticket,2025-02-18
FDBK00000171,PROJ000092,USR000483,Feature Request,Add dark mode support.,Critical,Negative,Web,2024-09-10
FDBK00000172,PROJ000075,USR000389,Feature Request,Enable custom dashboard widgets.,Medium,Negative,Mobile,2026-06-06
FDBK00000173,PROJ000058,USR000272,Complaint,Reports are difficult to understand.,Low,Positive,Web,2025-02-19
FDBK00000174,PROJ000010,USR000275,Bug Report,Login page becomes unresponsive after timeout.,Low,Positive,Mobile,2026-02-03
FDBK00000175,PROJ000126,USR000321,Feature Request,Support multilingual interface.,High,Neutral,Support Ticket,2026-01-20
FDBK00000176,PROJ000056,USR000740,Praise,Excellent dashboard experience.,High,Negative,Survey,2025-02-27
FDBK00000177,PROJ000150,USR000763,Praise,Fast and reliable platform.,Low,Neutral,Mobile,2024-07-27
FDBK00000178,PROJ000204,USR000072,Praise,AI suggestions are extremely useful.,Medium,Positive,Survey,2024-11-04
FDBK00000179,PROJ000204,USR000711,Complaint,Support response is too slow.,Medium,Negative,Mobile,2025-08-05
FDBK00000180,PROJ000055,USR000490,Bug Report,Search results are inaccurate.,Medium,Positive,Survey,2025-05-09
FDBK00000181,PROJ000006,USR000424,Bug Report,Dashboard takes too long to load.,Medium,Negative,Web,2026-02-23
FDBK00000182,PROJ000087,USR000318,Praise,Excellent dashboard experience.,Low,Neutral,Mobile,2026-03-01
FDBK00000183,PROJ000107,USR000552,Bug Report,Dashboard takes too long to load.,Medium,Neutral,Survey,2025-12-24
FDBK00000184,PROJ000166,USR000109,Bug Report,Notification emails are duplicated.,Critical,Positive,Mobile,2026-02-18
FDBK00000185,PROJ000057,USR000068,Question,How do I archive projects?,Critical,Neutral,Email,2025-04-20
FDBK00000186,PROJ000082,USR000263,Praise,Excellent dashboard experience.,Low,Positive,Web,2026-03-02
FDBK00000187,PROJ000054,USR000417,Praise,Excellent dashboard experience.,Medium,Negative,Web,2025-07-14
FDBK00000188,PROJ000017,USR000404,Improvement,Improve application performance.,High,Positive,Survey,2025-01-15
FDBK00000189,PROJ000018,USR000017,Bug Report,Login page becomes unresponsive after timeout.,Medium,Positive,Mobile,2026-02-07
FDBK00000190,PROJ000201,USR000256,Improvement,Optimize search experience.,Critical,Neutral,Mobile,2025-10-14
FDBK00000191,PROJ000188,USR000329,Feature Request,Add dark mode support.,Critical,Positive,Support Ticket,2026-02-16
FDBK00000192,PROJ000184,USR000353,Improvement,Reduce loading times.,Low,Neutral,Mobile,2025-06-13
FDBK00000193,PROJ000177,USR000588,Question,Where can I export analytics?,Critical,Negative,Support Ticket,2025-05-09
FDBK00000194,PROJ000079,USR000704,Feature Request,Enable custom dashboard widgets.,Medium,Negative,Web,2024-08-29
FDBK00000195,PROJ000247,USR000339,Praise,Fast and reliable platform.,Low,Positive,Support Ticket,2024-09-21
FDBK00000196,PROJ000172,USR000105,Complaint,Application freezes frequently.,High,Negative,Email,2026-02-26
FDBK00000197,PROJ000153,USR000041,Bug Report,Dashboard takes too long to load.,Medium,Neutral,Mobile,2024-08-21
FDBK00000198,PROJ000023,USR000471,Feature Request,Add dark mode support.,Medium,Positive,Survey,2026-01-31
FDBK00000199,PROJ000014,USR000586,Feature Request,Add dark mode support.,Medium,Positive,Web,2024-12-03
FDBK00000200,PROJ000061,USR000039,Praise,AI suggestions are extremely useful.,Medium,Neutral,Support Ticket,2024-12-18
FDBK00000201,PROJ000231,USR000625,Complaint,Workflow is confusing.,Critical,Negative,Mobile,2026-03-26
FDBK00000202,PROJ000223,USR000590,Improvement,Simplify navigation menus.,Low,Negative,Support Ticket,2024-09-16
FDBK00000203,PROJ000232,USR000451,Feature Request,Provide export to PDF option.,Low,Neutral,Support Ticket,2025-04-23
FDBK00000204,PROJ000068,USR000233,Praise,Excellent dashboard experience.,Critical,Negative,Survey,2024-12-08
FDBK00000205,PROJ000184,USR000729,Improvement,Optimize search experience.,Low,Negative,Mobile,2024-08-22
FDBK00000206,PROJ000024,USR000595,Praise,Excellent dashboard experience.,High,Positive,Email,2025-05-31
FDBK00000207,PROJ000171,USR000320,Question,Where can I export analytics?,Medium,Negative,Support Ticket,2025-12-03
FDBK00000208,PROJ000002,USR000681,Feature Request,Provide export to PDF option.,Low,Positive,Email,2025-10-05
FDBK00000209,PROJ000004,USR000708,Praise,Fast and reliable platform.,Low,Positive,Web,2024-11-11
FDBK00000210,PROJ000174,USR000178,Question,Is API access available?,Critical,Negative,Email,2026-05-27
FDBK00000211,PROJ000143,USR000797,Complaint,Reports are difficult to understand.,Critical,Neutral,Web,2024-12-25
FDBK00000212,PROJ000045,USR000043,Question,How do permissions work?,High,Positive,Email,2025-11-21
FDBK00000213,PROJ000076,USR000123,Question,Is API access available?,Low,Negative,Web,2025-11-28
FDBK00000214,PROJ000049,USR000035,Bug Report,Search results are inaccurate.,Low,Positive,Support Ticket,2026-01-28
FDBK00000215,PROJ000193,USR000400,Praise,Great collaboration features.,High,Neutral,Support Ticket,2025-02-12
FDBK00000216,PROJ000082,USR000527,Praise,Very intuitive interface.,Low,Neutral,Email,2024-08-27
FDBK00000217,PROJ000167,USR000173,Question,Is API access available?,Medium,Neutral,Support Ticket,2025-04-14
FDBK00000218,PROJ000139,USR000323,Bug Report,Notification emails are duplicated.,Medium,Positive,Mobile,2024-10-18
FDBK00000219,PROJ000209,USR000239,Complaint,Too many unnecessary notifications.,Critical,Neutral,Web,2025-03-19
FDBK00000220,PROJ000098,USR000372,Praise,Very intuitive interface.,Medium,Neutral,Survey,2026-03-16
FDBK00000221,PROJ000088,USR000078,Feature Request,Add dark mode support.,High,Negative,Mobile,2025-11-01
FDBK00000222,PROJ000175,USR000536,Complaint,Application freezes frequently.,Critical,Positive,Mobile,2024-08-04
FDBK00000223,PROJ000132,USR000576,Praise,Fast and reliable platform.,Low,Positive,Email,2024-08-06
FDBK00000224,PROJ000165,USR000408,Question,How do permissions work?,Medium,Neutral,Web,2025-08-14
FDBK00000225,PROJ000116,USR000698,Question,How do permissions work?,High,Neutral,Mobile,2025-06-07
FDBK00000226,PROJ000185,USR000219,Complaint,Too many unnecessary notifications.,Critical,Neutral,Mobile,2024-10-23
FDBK00000227,PROJ000147,USR000468,Bug Report,Application crashes while generating reports.,High,Negative,Support Ticket,2025-02-25
FDBK00000228,PROJ000129,USR000787,Bug Report,Application crashes while generating reports.,Critical,Negative,Email,2024-11-23
FDBK00000229,PROJ000005,USR000084,Question,How do permissions work?,Low,Positive,Support Ticket,2026-01-29
FDBK00000230,PROJ000213,USR000550,Complaint,Too many unnecessary notifications.,Critical,Neutral,Email,2025-02-19
FDBK00000231,PROJ000034,USR000512,Bug Report,Application crashes while generating reports.,Medium,Negative,Web,2026-02-08
FDBK00000232,PROJ000100,USR000381,Improvement,Simplify navigation menus.,High,Negative,Email,2026-02-18
FDBK00000233,PROJ000014,USR000524,Complaint,Application freezes frequently.,Medium,Neutral,Email,2025-12-14
FDBK00000234,PROJ000005,USR000689,Feature Request,Enable custom dashboard widgets.,Medium,Neutral,Email,2025-12-19
FDBK00000235,PROJ000051,USR000618,Bug Report,Dashboard takes too long to load.,Low,Positive,Mobile,2026-03-12
FDBK00000236,PROJ000017,USR000604,Complaint,Reports are difficult to understand.,High,Neutral,Web,2025-08-09
FDBK00000237,PROJ000249,USR000168,Complaint,Workflow is confusing.,Medium,Neutral,Email,2025-03-26
FDBK00000238,PROJ000008,USR000798,Bug Report,Application crashes while generating reports.,Medium,Positive,Survey,2026-01-04
FDBK00000239,PROJ000204,USR000265,Feature Request,Add dark mode support.,Medium,Neutral,Email,2026-07-06
FDBK00000240,PROJ000105,USR000442,Feature Request,Enable custom dashboard widgets.,Critical,Negative,Mobile,2025-03-30
FDBK00000241,PROJ000248,USR000617,Improvement,Optimize search experience.,High,Neutral,Mobile,2026-05-10
FDBK00000242,PROJ000036,USR000336,Complaint,Support response is too slow.,Medium,Negative,Mobile,2025-11-15
FDBK00000243,PROJ000095,USR000423,Question,Where can I export analytics?,High,Positive,Web,2025-05-12
FDBK00000244,PROJ000082,USR000318,Question,Where can I export analytics?,Medium,Negative,Survey,2026-01-09
FDBK00000245,PROJ000160,USR000246,Feature Request,Enable custom dashboard widgets.,Medium,Positive,Mobile,2025-08-20
FDBK00000246,PROJ000067,USR000590,Question,Can I restore deleted tickets?,Critical,Neutral,Web,2026-07-07
FDBK00000247,PROJ000249,USR000131,Praise,Excellent dashboard experience.,High,Neutral,Web,2025-06-04
FDBK00000248,PROJ000145,USR000375,Question,How do permissions work?,Low,Neutral,Survey,2025-10-04
FDBK00000249,PROJ000057,USR000223,Improvement,Improve application performance.,Medium,Negative,Mobile,2025-01-24
FDBK00000250,PROJ000188,USR000295,Question,How do I archive projects?,Critical,Positive,Mobile,2025-06-04
FDBK00000251,PROJ000226,USR000077,Improvement,Optimize search experience.,High,Neutral,Survey,2024-10-16
FDBK00000252,PROJ000250,USR000261,Improvement,Enhance dashboard usability.,High,Negative,Web,2024-09-02
FDBK00000253,PROJ000165,USR000002,Question,Where can I export analytics?,Critical,Positive,Web,2025-02-02
FDBK00000254,PROJ000201,USR000430,Complaint,Reports are difficult to understand.,Medium,Positive,Support Ticket,2025-03-05
